trp_multiplayer_profile_troop_male|multiplayer profile troop male
trp_multiplayer_profile_troop_male_pl|multiplayer profile troop male
trp_multiplayer_profile_troop_female|multiplayer profile troop female
trp_multiplayer_profile_troop_female_pl|multiplayer profile troop female
trp_temp_troop|Temp Troop
trp_temp_troop_pl|Temp Troop
trp_find_item_cheat|find item cheat
trp_find_item_cheat_pl|find item cheat
trp_random_town_sequence|Random Town Sequence
trp_random_town_sequence_pl|Random Town Sequence
trp_tournament_participants|Tournament Participants
trp_tournament_participants_pl|Tournament Participants
trp_tutorial_maceman|Maceman
trp_tutorial_maceman_pl|Maceman
trp_tutorial_archer|Archer
trp_tutorial_archer_pl|Archer
trp_tutorial_swordsman|Swordsman
trp_tutorial_swordsman_pl|Swordsman
trp_novice_fighter|Novice Fighter
trp_novice_fighter_pl|Novice Fighters
trp_regular_fighter|Regular Fighter
trp_regular_fighter_pl|Regular Fighters
trp_veteran_fighter|Veteran Fighter
trp_veteran_fighter_pl|Veteran Fighters
trp_champion_fighter|Champion Fighter
trp_champion_fighter_pl|Champion Fighters
trp_arena_training_fighter_1|Novice Fighter
trp_arena_training_fighter_1_pl|Novice Fighters
trp_arena_training_fighter_2|Novice Fighter
trp_arena_training_fighter_2_pl|Novice Fighters
trp_arena_training_fighter_3|Regular Fighter
trp_arena_training_fighter_3_pl|Regular Fighters
trp_arena_training_fighter_4|Regular Fighter
trp_arena_training_fighter_4_pl|Regular Fighters
trp_arena_training_fighter_5|Regular Fighter
trp_arena_training_fighter_5_pl|Regular Fighters
trp_arena_training_fighter_6|Veteran Fighter
trp_arena_training_fighter_6_pl|Veteran Fighters
trp_arena_training_fighter_7|Veteran Fighter
trp_arena_training_fighter_7_pl|Veteran Fighters
trp_arena_training_fighter_8|Veteran Fighter
trp_arena_training_fighter_8_pl|Veteran Fighters
trp_arena_training_fighter_9|Champion Fighter
trp_arena_training_fighter_9_pl|Champion Fighters
trp_arena_training_fighter_10|Champion Fighter
trp_arena_training_fighter_10_pl|Champion Fighters
trp_cattle|Cattle
trp_cattle_pl|Cattle
trp_farmer|Freeman
trp_farmer_pl|Freemen
trp_merc_euro_spearman|Euro Mercenary Spearman
trp_merc_euro_spearman_pl|Euro Mercenary Spearmen
trp_merc_euro_guisarmer|Euro Mercenary Guisarmer
trp_merc_euro_guisarmer_pl|Euro Mercenary Guisarmer
trp_merc_euro_range|Euro Mercenary Crossbowman
trp_merc_euro_range_pl|Euro Mercenary Crossbowmen
trp_merc_euro_horse|Euro Mercenary Horseman
trp_merc_euro_horse_pl|Euro Mercenary Horseman
trp_merc_balt_spearman|Baltic Mercenary Spearman
trp_merc_balt_spearman_pl|Baltic Mercenary Spearmen
trp_merc_balt_guisarmer|Baltic Mercenary Axeman
trp_merc_balt_guisarmer_pl|Baltic Mercenary Axemen
trp_merc_balt_range|Baltic Mercenary Archer
trp_merc_balt_range_pl|Baltic Mercenary Archers
trp_merc_balt_horse|Baltic Mercenary Horseman
trp_merc_balt_horse_pl|Baltic Mercenary Horsemen
trp_merc_mamluke_spearman|Mamluke Spearman
trp_merc_mamluke_spearman_pl|Mamluke Spearmen
trp_merc_mamluke_javalin|Mamluke Javelinman
trp_merc_mamluke_javalin_pl|Mamluke Javelinmen
trp_merc_mamluke_range|Mamluke Archer
trp_merc_mamluke_range_pl|Mamluke Archers
trp_merc_mamluke_syrian|Mamluke Horse Archer
trp_merc_mamluke_syrian_pl|Mamluke Horse Archers
trp_merc_maghreb_spearman|Muslim Mercenary Spearman
trp_merc_maghreb_spearman_pl|Muslim Mercenary Spearmen
trp_merc_maghreb_range|Muslim Mercenary Archer
trp_merc_maghreb_range_pl|Muslim Mercenary Archers
trp_merc_maghreb_horse|Muslim Mercenary Horseman
trp_merc_maghreb_horse_pl|Muslim Mercenary Horsemen
trp_merc_almogabar|Almogabar
trp_merc_almogabar_pl|Almogabars
trp_merc_rus_spearman|Rus Mercenary Spearman
trp_merc_rus_spearman_pl|Rus Mercenary Spearmen
trp_merc_rus_guisarmer|Rus Mercenary Guisarmer
trp_merc_rus_guisarmer_pl|Rus Mercenary Guisarmer
